"","player_id","player"
"1",76001,"Alaa Abdelnaby"
"2",76002,"Zaid Abdul-Aziz"
"3",76003,"Kareem Abdul-Jabbar"
"4",51,"Mahmoud Abdul-Rauf"
"5",1505,"Tariq Abdul-Wahad"
"6",949,"Shareef Abdur-Rahim"
"7",76005,"Tom Abernethy"
"8",76006,"Forest Able"
"9",76007,"John Abramovic"
"10",203518,"Alex Abrines"
"11",101165,"Alex Acker"
"12",76008,"Donald Ackerman"
"13",76009,"Mark Acres"
"14",76010,"Charles Acton"
"15",203112,"Quincy Acy"
"16",76011,"Alvan Adams"
"17",76012,"Don Adams"
"18",200801,"Hassan Adams"
"19",203919,"Jordan Adams"
"20",149,"Michael Adams"
"21",203500,"Steven Adams"
"22",912,"Rafael Addison"
"23",76015,"Rick Adelman"
"24",202399,"Jeff Adrien"
"25",201167,"Arron Afflalo"
"26",200772,"Maurice Ager"
"27",76016,"Mark Aguirre"
"28",201336,"Blake Ahearn"
"29",76017,"Danny Ainge"
"30",201582,"Alexis Ajinca"
"31",76018,"Henry Akin"
"32",203006,"Josh Akognon"
"33",202374,"Solomon Alabi"
"34",76019,"Mark Alarie"
"35",76020,"Gary Alcorn"
"36",203128,"Furkan Aldemir"
"37",202332,"Cole Aldrich"
"38",200746,"LaMarcus Aldridge"
"39",76021,"Chuck Aleksinas"
"40",1626146,"Cliff Alexander"
"41",724,"Cory Alexander"
"42",2042,"Courtney Alexander"
"43",76022,"Gary Alexander"
"44",201570,"Joe Alexander"
"45",2349,"Victor Alexander"
"46",76024,"Steve Alford"
"47",76028,"Bob Allen"
"48",706,"Jerome Allen"
"49",202730,"Lavoy Allen"
"50",76027,"Lucius Allen"
"51",2124,"Malik Allen"
"52",76025,"Randy Allen"
"53",951,"Ray Allen"
"54",2754,"Tony Allen"
"55",76029,"Odis Allison"
"56",200984,"Lance Allred"
"57",76030,"Darrell Allums"
"58",201165,"Morris Almond"
"59",308,"Derrick Alston"
"60",1747,"Rafer Alston"
"61",1824,"Peter Aluma"
"62",680,"John Amaechi"
"63",732,"Ashraf Amaya"
"64",202329,"Al-Farouq Aminu"
"65",200811,"Lou Amundson"
"66",76034,"Bob Anderegg"
"67",2365,"Chris Andersen"
"68",2431,"David Andersen"
"69",101187,"Alan Anderson"
"70",202079,"Antonio Anderson"
"71",76035,"Cliff Anderson"
"72",76036,"Daniel Anderson"
"73",1507,"Derek Anderson"
"74",76037,"Dwight Anderson"
"75",944,"Eric Anderson"
"76",246,"Greg Anderson"
"77",202341,"James Anderson"
"78",76040,"Jerome Anderson"
"79",1626147,"Justin Anderson"
"80",72,"Kenny Anderson"
"81",76041,"Kim Anderson"
"82",203937,"Kyle Anderson"
"83",76042,"Michael Anderson"
"84",76043,"Mitchell Anderson"
"85",98,"Nick Anderson"
"86",76045,"Richard Anderson"
"87",76046,"Ron Anderson"
"88",201583,"Ryan Anderson"
"89",1000,"Shandon Anderson"
"90",335,"Willie Anderson"
"91",76048,"Wally Anderzunas"
"92",101149,"Martynas Andriuskevicius"
"93",76049,"Don Anielak"
"94",76050,"Michael Ansley"
"95",1512,"Chris Anstey"
"96",203507,"Giannis Antetokounmpo"
"97",203648,"Thanasis Antetokounmpo"
"98",2546,"Carmelo Anthony"
"99",21,"Greg Anthony"
"100",201202,"Joel Anthony"
"101",203544,"Pero Antic"
"102",203951,"Keith Appling"
"103",2737,"Rafael Araujo"
"104",76053,"Stacey Arceneaux"
"105",76054,"Nate Archibald"
"106",2425,"Robert Archibald"
"107",76055,"Jim Ard"
"108",2240,"Gilbert Arenas"
"109",2772,"Trevor Ariza"
"110",76056,"Paul Arizin"
"111",76057,"Joe Arlauckas"
"112",769,"B.J. Armstrong"
"113",76061,"Bob Armstrong"
"114",2220,"Brandon Armstrong"
"115",353,"Darrell Armstrong"
"116",200756,"Hilton Armstrong"
"117",76060,"Paul Armstrong"
"118",76059,"Tate Armstrong"
"119",76062,"Jesse Arnelle"
"120",76063,"Jay Arnette"
"121",76064,"Bob Arnzen"
"122",2306,"Carlos Arroyo"
"123",201589,"Darrell Arthur"
"124",76065,"John Arthurs"
"125",201600,"Omer Asik"
"126",355,"Vincent Askew"
"127",173,"Keith Askins"
